2023-09-13 18:59:29.650 [info] Log level: Info
2023-09-13 18:59:29.650 [info] Validating found git in: "git"
2023-09-13 18:59:29.650 [info] Using git "2.34.1" from "git"
2023-09-13 18:59:29.650 [info] > git rev-parse --show-toplevel [73ms]
2023-09-13 18:59:30.315 [info] > git rev-parse --show-toplevel [313ms]
2023-09-13 18:59:30.397 [info] > git rev-parse --show-toplevel [25ms]
2023-09-13 18:59:30.510 [info] > git rev-parse --show-toplevel [13ms]
2023-09-13 19:01:41.963 [info] > git rev-parse --show-toplevel [22ms]
2023-09-13 19:03:02.646 [info] > git rev-parse --show-toplevel [218ms]
2023-09-13 19:03:20.780 [info] > git rev-parse --show-toplevel [36ms]
2023-09-13 19:03:40.553 [info] > git rev-parse --show-toplevel [17ms]
2023-09-13 19:03:46.115 [info] > git rev-parse --show-toplevel [17ms]
2023-09-13 19:12:01.037 [info] > git rev-parse --show-toplevel [131ms]
2023-09-13 19:12:14.852 [info] > git rev-parse --show-toplevel [35ms]
2023-09-13 19:21:29.092 [info] > git rev-parse --show-toplevel [40ms]
2023-09-13 19:22:10.796 [info] > git rev-parse --show-toplevel [31ms]
2023-09-13 20:20:08.099 [info] > git rev-parse --show-toplevel [3001ms]
2023-09-13 20:21:07.213 [info] > git rev-parse --show-toplevel [16ms]
2023-09-13 20:22:26.332 [info] > git rev-parse --show-toplevel [214ms]
2023-09-13 20:25:29.839 [info] > git rev-parse --show-toplevel [58ms]
2023-09-13 20:28:02.620 [info] > git rev-parse --show-toplevel [759ms]
2023-09-13 20:28:54.139 [info] > git rev-parse --show-toplevel [26ms]
2023-09-13 20:35:11.625 [info] > git rev-parse --show-toplevel [478ms]
2023-09-13 20:36:04.105 [info] > git rev-parse --show-toplevel [28ms]
